groseq_dht.plus	groseq_dht.plus	groseq_dht.minus	groseq_dht.minus	groseq_dmso.plus	groseq_dmso.plus	groseq_dmso.minus	groseq_dmso.minus
1.501	9.605	6.052	99.67	1.701	9.506	7.108	118.9
1.501	9.605	6.052	99.67	1.701	9.506	7.108	118.9
1.921	64.75	53.21	0.3288	3.872	77.16	50.54	1.562
0	2.801	61.15	53.23	0	2.686	68.98	64.44
23.92	4.682	27.06	54.61	37.38	8.965	31.28	64.77
0	0	15.89	96.41	2.616	0	17.52	120.2
92.35	13.17	9.668	15.39	87.4	17.3	6.568	9.551
92.35	13.17	9.668	15.39	87.4	17.3	6.568	9.551
92.35	13.17	9.668	15.39	87.4	17.3	6.568	9.551
92.35	13.17	9.668	15.39	87.4	17.3	6.568	9.551
92.35	13.17	9.668	15.39	87.4	17.3	6.568	9.551
5.503	4.169	61.27	46.33	5.668	8.067	58.82	61.32
5.503	4.169	61.27	46.33	5.668	8.067	58.82	61.32
5.503	4.169	61.27	46.33	5.668	8.067	58.82	61.32
5.503	4.169	61.27	46.33	5.668	8.067	58.82	61.32
47.76	58.17	5.073	8.944	55.39	58.02	6.087	11.35
47.76	58.17	5.073	8.944	55.39	58.02	6.087	11.35
47.76	58.17	5.073	8.944	55.39	58.02	6.087	11.35
47.76	58.17	5.073	8.944	55.39	58.02	6.087	11.35
47.76	58.17	5.073	8.944	55.39	58.02	6.087	11.35
47.76	58.17	5.073	8.944	55.39	58.02	6.087	11.35
47.76	58.17	5.073	8.944	55.39	58.02	6.087	11.35
47.76	58.17	5.073	8.944	55.39	58.02	6.087	11.35
47.76	58.17	5.073	8.944	55.39	58.02	6.087	11.35
1.734	26.11	45.95	52.27	0	16.13	58.02	50.51
1.734	26.11	45.95	52.27	0	16.13	58.02	50.51
0	0	62.87	63.12	0	0	61.19	62.79
39.26	61.06	0	0	50.65	98.47	0	0
0.2334	0.4335	25.59	88.99	0	0.3052	28.83	103
0.2334	0.4335	25.59	88.99	0	0.3052	28.83	103
0.2334	0.4335	25.59	88.99	0	0.3052	28.83	103
1.301	20.01	26.64	72.03	1.395	17.4	30.59	77.44
0.9738	4.682	52.66	67.38	1.291	6.854	59.43	53.48
1.674	0.8604	18.19	99.09	0.8721	0.7064	21.05	103.5
1.674	0.8604	18.19	99.09	0.8721	0.7064	21.05	103.5
1.674	0.8604	18.19	99.09	0.8721	0.7064	21.05	103.5
0.647	0.3535	14.89	107.4	0.8721	0.8459	13.16	107.6
0	0.2735	24.34	84.41	2.259	0	25.73	108.6
0	0	25.08	90.45	0.4448	0.4273	48.6	80.59
3.001	3.142	29	71.83	2.433	0.436	35.12	98.67
3.001	3.142	29	71.83	2.433	0.436	35.12	98.67
3.001	3.142	29	71.83	2.433	0.436	35.12	98.67
3.001	3.142	29	71.83	2.433	0.436	35.12	98.67
3.001	3.142	29	71.83	2.433	0.436	35.12	98.67
3.001	3.142	29	71.83	2.433	0.436	35.12	98.67
0.667	0.3335	31.01	70.8	0.8721	0.436	37.79	101.6
0.667	0.3335	31.01	70.8	0.8721	0.436	37.79	101.6
0.2468	0.667	12.41	99.46	0	0	14.04	116.6
48.01	12.31	18.43	25.93	62.95	28.25	26.07	21.48
48.01	12.31	18.43	25.93	62.95	28.25	26.07	21.48
48.01	12.31	18.43	25.93	62.95	28.25	26.07	21.48
0	4.035	111.9	5.716	0	5.363	111.6	4.055
0.9738	2.361	37.21	79.89	0.9942	1.622	35.2	84.34
0.9738	2.361	37.21	79.89	0.9942	1.622	35.2	84.34
0.9738	2.361	37.21	79.89	0.9942	1.622	35.2	84.34
0.9738	2.361	37.21	79.89	0.9942	1.622	35.2	84.34
0.9738	2.361	37.21	79.89	0.9942	1.622	35.2	84.34
106.1	13.01	0	0	121.7	1.744	0	0
2.274	0.9405	26.75	84.13	1.465	2.459	35.47	88.8
2.274	0.9405	26.75	84.13	1.465	2.459	35.47	88.8
0	1.401	12.65	96.74	0	0.7674	18.38	111.8
0	0.04669	108.6	0.9639	0	0.2442	129.4	1.722
2.801	2.268	53.95	64.56	2.616	4.099	34.44	74.99
2.801	2.268	53.95	64.56	2.616	4.099	34.44	74.99
2.801	2.268	53.95	64.56	2.616	4.099	34.44	74.99
0	0.07337	108.1	0.8742	0	0.3837	128.7	1.562
0	0.3402	22.06	102.6	0	0	15	98.07
10.79	18.97	30.07	55.16	10.95	23.86	35.82	52.34
10.79	18.97	30.07	55.16	10.95	23.86	35.82	52.34
10.79	18.97	30.07	55.16	10.95	23.86	35.82	52.34
25.35	31.11	32.23	14.26	25.49	46.11	41.95	21.35
90	21.94	0	0	109.4	16.45	0	0
2.001	0.6537	59.89	39.22	2.634	3.445	78.36	51.5
6.67	83.6	18.69	8.114	1.116	100	12.61	6.628
0	3.095	13.36	99.64	0	1.605	11.99	107.7
2.635	5.836	24.66	62.61	4.36	7.282	25.33	102.9
2.635	5.836	24.66	62.61	4.36	7.282	25.33	102.9
4.409	0.07337	15.03	91.03	4.36	0.09593	13.47	106.5
0	0.3335	38.73	71.24	0	0	32.34	92.19
0	0.3335	38.73	71.24	0	0	32.34	92.19
0	0.3335	38.73	71.24	0	0	32.34	92.19
0	0.3335	38.73	71.24	0	0	32.34	92.19
0	0.3335	38.73	71.24	0	0	32.34	92.19
2.428	3.402	35.55	68.02	3.401	2.512	40.15	78.97
3.889	11.89	104.7	30.38	2.477	6.628	45.27	28.58
3.889	11.89	104.7	30.38	2.477	6.628	45.27	28.58
15.78	30.45	42.98	5.088	23.45	54.41	50.57	10.13
0.0667	0.6003	14.94	97.36	0	0	9.912	109.8
18.72	13.86	15.15	55.46	16.47	17.44	20.34	74.66
2.001	2.001	70.62	30.72	4.814	2.721	75.75	42.71
89.72	13.66	1.689	2.794	102	14.83	2.823	3.684
89.72	13.66	1.689	2.794	102	14.83	2.823	3.684
2.575	1.547	42.31	58.89	6.697	2.023	60.27	56.11
2.575	1.547	42.31	58.89	6.697	2.023	60.27	56.11
2.575	1.547	42.31	58.89	6.697	2.023	60.27	56.11
2.575	1.547	42.31	58.89	6.697	2.023	60.27	56.11
2.575	1.547	42.31	58.89	6.697	2.023	60.27	56.11
2.575	1.547	42.31	58.89	6.697	2.023	60.27	56.11
2.575	1.547	42.31	58.89	6.697	2.023	60.27	56.11
2.575	1.547	42.31	58.89	6.697	2.023	60.27	56.11
2.575	1.547	42.31	58.89	6.697	2.023	60.27	56.11
2.575	1.547	42.31	58.89	6.697	2.023	60.27	56.11
2.575	1.547	42.31	58.89	6.697	2.023	60.27	56.11
2.575	1.547	42.31	58.89	6.697	2.023	60.27	56.11
2.575	1.547	42.31	58.89	6.697	2.023	60.27	56.11
2.575	1.547	42.31	58.89	6.697	2.023	60.27	56.11
2.575	1.547	42.31	58.89	6.697	2.023	60.27	56.11
2.575	1.547	42.31	58.89	6.697	2.023	60.27	56.11
18.48	14.27	14.27	55.22	16.22	17.88	18.82	75.19
18.48	14.27	14.27	55.22	16.22	17.88	18.82	75.19
0.1401	2.528	92.04	0	0.1831	2.433	132.3	0.7108
73.03	30.35	0.0523	4.431	78.96	37.28	0	5.867
73.03	30.35	0.0523	4.431	78.96	37.28	0	5.867
65.03	48.36	0	0	63.23	51.45	1.001	0.5006
30.45	52.91	7.801	7.464	27.77	79.04	10.48	12.97
2.635	0	18.96	83.71	3.898	0.4622	17.71	101.4
2.635	0	18.96	83.71	3.898	0.4622	17.71	101.4
