groseq_dht.plus	groseq_dht.plus	groseq_dht.minus	groseq_dht.minus	groseq_dmso.plus	groseq_dmso.plus	groseq_dmso.minus	groseq_dmso.minus
1.067	0.9528	0	0	4.036	1.246	0	0
1.629	0.2763	0.7578	0.3095	0	0	4.291	0
0.8099	1.096	0.427	0	1.931	1.806	1.144	0
1.639	4.354	0	0.9927	0	0	0.2002	0
2.363	1.915	0.02135	0	0.299	0.9468	1.058	0.3719
2.563	2.087	0.06404	0	1.943	0	0.1716	0
2.211	0	1.003	2.135	0	0	0.4434	0.9869
2.153	3.087	0	0	0	1.458	0	0
0.7146	2.144	0	0	2.492	0.6229	0	0
3.316	1.915	0	0	0	0	0	0
3.43	0.8576	0	0	0	0.8098	0	0
0.9433	1.915	1.43	0.08539	0	0.7226	0	0
0.9528	0.7432	1.537	0.2989	0	0	0.04291	1.387
0	2.687	0	0	0	2.267	0	0
1.658	1.201	0	0	0	1.246	0.5435	0
2.849	0.7146	0	0	0.9344	0.01246	0	0
2.868	1.553	0	0	0	0	0	0
3.097	0.4192	0	0	0.8596	0	0	0
1.667	2.087	0	0	0.5482	0	0	0
1.191	1.667	0	0	0	0	1.073	0.3576
1.029	1.829	0	0	0.3613	0.8845	0	0
0	0	1.783	1.462	0.04983	0.5731	0.05721	0
0	0	0.2775	0	0	0	1.087	2.489
0.4955	1.41	0.5124	0	0	0	0.7294	0.7008
3.373	0.4383	0	0	0	0	0	0
1.191	0.4097	0.7258	0	0.2242	1.246	0	0
0	0	0	0	0	3.737	0	0
0	0	0	0	1.906	1.831	0	0
0.3526	0.6003	0.4056	0	1.096	1.246	0	0
0	0	0.9073	0.1601	0	1.246	1.144	0
0.848	0.1048	0	0	2.218	0.2741	0	0
1.429	1.906	0	0	0	0	0	0
0.3621	2.02	0	0	0	0.7849	0	0
1.162	0.7432	0	0	1.246	0	0	0
0.9528	0.9528	0	0	1.084	0.162	0	0
0	0	0	0	3.09	0	0	0
0.9528	0	0	0	0	0.6229	1.43	0
0	0	0	0	1.022	1.47	0.4863	0
1.906	0.9528	0	0	0	0	0	0
0.2001	0	0.7578	0	0.6229	0	0	1.13
0	0	0.1174	1.484	0	0	0.9154	0
0	0	0	0	0.8596	1.632	0	0
0	0.9528	0	0	0	1.246	0	0
0	0.9528	0	0	1.246	0	0	0
0	2.134	0	0	0	0	0	0
0.2192	1.191	0	0	0.2865	0.3364	0	0
0.7146	0.2382	0.2668	0.8005	0	0	0	0
0.5717	1.334	0	0	0	0	0	0
1.458	0.4478	0	0	0	0	0	0
0.4097	1.496	0	0	0	0	0	0
0	0	0.491	0	0	0	1.373	0
0.5526	0.4002	0	0.8859	0	0	0	0
0	0.09528	0	0	0	0.1246	0.5006	0.9297
0.2668	0.6289	0	0	0	0	0.6722	0.04291
0.8004	0.1525	0	0	0.5108	0	0	0
0	0	0	0	0	0	1.43	0
0	0	0.5337	0	0	0.8472	0	0
0	0.02859	0	0	1.246	0	0	0
0	0	0	0	1.246	0	0	0
0	0	0.2135	0	0	0	1.001	0
0.181	0.7718	0	0	0	0	0	0
0.4859	0.4669	0	0	0	0	0	0
0.9052	0.04764	0	0	0	0	0	0
0	0.9338	0	0	0	0	0	0
0	0	0.7899	0	0	0	0	0
0	0	0	0	0	0	0.7151	0
0.7051	0	0	0	0	0	0	0
0	0	0	0.6831	0	0	0	0
0	0.4764	0	0	0	0	0	0
0	0	0.4483	0	0	0	0	0
246.2	160.2	84.76	21.21	205.2	131.8	55.26	22.25
0.4574	4.745	102.5	141.9	1.246	4.298	33.64	31.45
6.136	4.202	58.55	44.96	4.211	8.87	82.67	38.17
0.0667	6.546	56.17	60.31	0	2.392	18.56	12.19
0.7909	0.162	9.767	101	1.146	0	1.545	25.6
23.74	42.86	11.35	2.85	12.71	19.06	0	0
13.2	12.29	32.4	30.74	9.219	5.17	0.5006	2.861
24.1	23.29	4.366	9.286	17.19	18.74	0	0
1.296	1.191	7.066	64.45	2.417	3.949	1.745	12.56
18.1	21.46	12.87	3.928	2.965	11.65	8.496	0.2574
0.9528	1.086	42.67	26.43	1.022	0.2242	2.703	2.918
3.526	4.25	28.1	26.06	1.669	0	1.201	5.721
6.575	9.624	31.82	2.295	6.678	3.115	9.611	0
8.957	7.909	14.68	16.7	4.983	0.7475	7.795	4.648
16.55	16.54	12.73	5.166	3.501	2.105	4.52	2.589
8.861	8.147	7.739	11.79	7.911	2.803	9.869	4.005
0	0	19.96	14.7	0	0	11.99	13.8
14.96	15.8	1.003	2.199	13.5	12.38	0	0
0	0	18.33	16.46	0	1.707	7.68	15.33
0.4669	0.505	21.52	17.89	4.086	4.634	4.706	5.292
12.97	21.98	6.661	0	4.871	8.783	0.7723	0
4.307	0.4574	21.01	13.53	0	0	7.595	7.566
0	0.9243	21.08	15.58	0	0	7.909	8.91
10.13	9.576	1.58	0	13.82	12.35	1.402	0
0	0	7.408	17.27	0	0	12.27	6.636
1.839	0.0667	5.721	24.32	2.492	1.52	0	6.694
5.812	9.138	0	0	10.81	14.76	0	0
4.183	10.13	7.749	3.715	4.223	6.989	0.3576	1.244
6.432	9.385	7.952	0.1601	2.305	5.793	2.217	2.074
5.603	10.2	2.007	3.864	6.154	4.759	2.775	0.8868
9.042	6.927	1.857	4.291	7.139	5.021	0	0
0.9528	0.5526	10.94	11.84	0	0	3.218	6.193
0.4097	1.191	22.22	4.526	0	1.246	2.088	1.43
0	0	4.109	8.166	0	0	11.08	8.367
3.497	5.679	3.971	7.461	3.015	4.099	2.861	0.6007
0.8861	0.6098	13.8	14.19	0	0	1.43	0.1001
1.382	5.193	6.564	7.845	2.803	2.056	1.931	2.646
0.9528	0	10.62	14.15	0	0	2.045	2.346
1.01	2.115	12.41	3.512	2.255	4.672	2.546	1.344
0	0.343	6.821	8.87	0	0	8.024	5.564
0.6098	0.9528	8.304	8.923	1.246	0	3.533	5.764
